YY;MM;OD;PAX
2008;5;ATLSFO;95021
2008;5;ATLTPA;155530
2008;5;AUSDFW;98779
2008;5;BOSCLT;75497
2008;5;BOSDCA;86287
2008;5;BOSORD;145174
2008;5;BOSPHL;68322
2008;5;BOSSFO;70979
2008;5;CLTDFW;70069
2008;5;CLTLGA;82872
2008;5;CLTMCO;85342
2008;5;CLTORD;97440
2008;5;DALHOU;107603
2008;5;DCAORD;131665
2008;5;DENDFW;139326
2008;5;DENIAH;95694
2008;5;DENLAS;163218
2008;5;DENLAX;160489
2008;5;DENMSP;103975
2008;5;DENORD;148664
2008;5;DENPHX;155858
2008;5;DENSAN;93580
2008;5;DENSEA;131298
2008;5;DENSFO;109544
2008;5;DENSLC;111752
2008;5;DFWLAS;111585
2008;5;DFWLAX;146891
2008;5;DFWLGA;94849
2008;5;DFWMIA;79507
2008;5;DFWORD;163660
2008;5;DFWPHX;100915
2008;5;DFWSAT;98494
2008;5;DFWSFO;80396
2008;5;DTWMCO;98896
2008;5;EWRLAX;81143
2008;5;EWRMCO;120400
2008;5;EWRORD;124521
2008;5;EWRSFO;64958
2008;5;FLLLGA;115631
2008;5;HNLITO;102900
2008;5;HNLKOA;121245
2008;5;HNLLAX;164934
2008;5;HNLLIH;155783
2008;5;HNLOGG;189722
2008;5;IADLAX;115953
2008;5;IADSFO;90808
2008;5;IAHLAX;95509
2008;5;IAHORD;89918
2008;5;JFKLAX;211034
2008;5;JFKMCO;106910
2008;5;JFKSFO;175734
2008;5;JFKSJU;91745
2008;5;LASLAX;174446
2008;5;LASORD;138783
2008;5;LASPHX;149831
2008;5;LASSEA;108711
2008;5;LASSFO;161841
2008;5;LAXMIA;73471
2008;5;LAXORD;190115
2008;5;LAXPHX;121983
2008;5;LAXSEA;152388
2008;5;LAXSFO;253960
2008;5;LAXSJC;85427
2008;5;LGAMIA;96878
2008;5;LGAORD;197299
2008;5;MCOPHL;142465
2008;5;MSPORD;170658
2008;5;MSPPHX;84278
2008;5;ORDPHL;128094
2008;5;ORDPHX;111479
2008;5;ORDSEA;107969
2008;5;ORDSFO;152646
2008;5;PHXSAN;114682
2008;5;PHXSEA;101292
2008;5;PHXSLC;95994
2008;5;SANSFO;133089
2008;5;SEASFO;115693
2008;6;ANCSEA;139670
2008;6;ATLBOS;126129
2008;6;ATLBWI;124217
2008;6;ATLCLT;125361
2008;6;ATLDCA;145697
2008;6;ATLDEN;136001
2008;6;ATLDFW;197251
2008;6;ATLDTW;97827
2008;6;ATLFLL;198374
2008;6;ATLJAX;129771
2008;6;ATLLAS;131623
2008;6;ATLLAX;168765
2008;6;ATLLGA;190876
2008;6;ATLMCO;242716
